id,상품명,가격,재고,카테고리
101,프리미엄 무선 이어폰,89000,150,전자제품
102,유기농 아몬드 (500g),12500,80,식품
103,울트라 슬림 노트북 파우치,25000,220,악세서리
104,친환경 주방 세제 (1L),7900,300,생활용품
105,고급 가죽 지갑,55000,95,패션잡화
106,접이식 캠핑 의자,39900,110,스포츠/레저
107,디지털 스마트 체중계,42000,70,건강
108,허브향 아로마 디퓨저,18000,180,인테리어
109,에센셜 오일 세트 (5종),29900,60,미용
110,스테인리스 보온병 (500ml),21000,140,주방용품
111,초경량 백팩,65000,50,패션잡화
112,핸드메이드 도자기 머그컵,14000,210,주방용품
113,LED 스탠드 조명,32000,90,전자제품
114,프리미엄 믹스 커피 (100개),19900,160,식품
115,안티 블루라이트 보호 필름,15000,250,악세서리
116,천연 고무 요가 매트,45000,75,스포츠/레저
117,저자극성 바디 로션,22000,130,미용
118,스마트폰 차량용 거치대,11900,190,전자제품
119,클래식 디자인 탁상 시계,28000,85,인테리어
120,휴대용 미니 선풍기,9900,310,생활용품